abstained,answer,answer_em,answer_f1,branch,candidate_ids,citation_validity,context_chars,context_ids,end_to_end_ms,fallback,generation_error,generation_finish_reason,generation_ms,generator_completion_tokens,generator_cost_usd,generator_model,generator_prompt_tokens,index_ms_once,language,mrr_10_candidates,mrr_10_context,ndcg_10_candidates,ndcg_10_context,online_cost_usd,query,query_id,recall_candidate_k,recall_context_k,references,replay_incremental_cost_usd,rerank_ms,reranker_cost_usd,reranker_error,reranker_input_tokens,reranker_output_tokens,reranker_requested_model,reranker_resolved_model,retrieval_ms,retry_count,run_kind,source_contains_gold,split,wrong_answer
False,Panthers savunması 308 sayı bırakmıştır [xquad-tr-2b81f10d1c9b].,0.0,0.33333333333333337,A,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-f5c49da75e44|xquad-tr-c70ce4ff4d58|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-6434b8c478c4|xquad-tr-660ba94e4a8b|xquad-tr-f35e308d9792|xquad-tr-00131885f61f|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-02b48bacfd77|xquad-tr-02d7ab96e83c|xquad-tr-032f09b0043b|xquad-tr-0395d7cf3439|xquad-tr-04c15ed36672|xquad-tr-076a132122cb|xquad-tr-07b450b99a51|xquad-tr-0829db2785c8,1.0,4321,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-f5c49da75e44|xquad-tr-c70ce4ff4d58|xquad-tr-391129eff6d9,961.7785419977736,False,,,961.6306249990885,30,4.971e-05,qwen/qwen3.7-flash,1527,5.586999999650288,tr,1.0,1.0,1.0,1.0,4.971e-05,Panthers savunması kaç sayı bırakmıştır?,xquad-tr-56beb4343aeaaa14008c925b,1.0,1.0,308,,0.0,0.0,,,,,,0.14791699868510477,0,real,True,test,True
False,Panthers savunması 308 sayı bırakmıştır [xquad-tr-2b81f10d1c9b].,0.0,0.33333333333333337,D,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-f5c49da75e44|xquad-tr-c70ce4ff4d58|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-6434b8c478c4|xquad-tr-660ba94e4a8b|xquad-tr-f35e308d9792|xquad-tr-00131885f61f|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-02b48bacfd77|xquad-tr-02d7ab96e83c|xquad-tr-032f09b0043b|xquad-tr-0395d7cf3439|xquad-tr-04c15ed36672|xquad-tr-076a132122cb|xquad-tr-07b450b99a51|xquad-tr-0829db2785c8,1.0,4809,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-f5c49da75e44|xquad-tr-391129eff6d9|xquad-tr-02d7ab96e83c,1384.9054999991495,False,,,898.2983330024581,30,5.451e-05,qwen/qwen3.7-flash,1687,,tr,1.0,1.0,1.0,1.0,0.000419868,Panthers savunması kaç sayı bırakmıştır?,xquad-tr-56beb4343aeaaa14008c925b,1.0,1.0,308,,486.45924999800627,0.000365358,,8699,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.14791699868510477,0,real,True,test,True
True,Kaynaklarda bu soruyu yanıtlamak için yeterli kanıt yok.,0.0,0.0,D,xquad-tr-2b81f10d1c9b|xquad-tr-32f9b3f9058f|xquad-tr-41d0eeaba356|xquad-tr-ff7d0fa77806|xquad-tr-78d4b5c3b411|xquad-tr-c84dc45a4483|xquad-tr-978df37623b2|xquad-tr-65ec3003bd84|xquad-tr-2e52c5a647dd|xquad-tr-5d57febd31d2|xquad-tr-58f04ac166fc|xquad-tr-301b639f3ac9|xquad-tr-71addbef986e|xquad-tr-e43356118978|xquad-tr-e160a67f6095|xquad-tr-6b70e4d40c90|xquad-tr-076a132122cb|xquad-tr-717a8e567f6e|xquad-tr-3dcc3bbc2c25|xquad-tr-94de63f55db8,0.0,4505,xquad-tr-2b81f10d1c9b|xquad-tr-717a8e567f6e|xquad-tr-e43356118978|xquad-tr-6b70e4d40c90|xquad-tr-076a132122cb,1674.2593739982112,False,,,1112.2730829993088,15,4.962e-05,qwen/qwen3.7-flash,1589,,tr,1.0,1.0,1.0,1.0,0.000445848,Jared Allen'ın kaç tane kariyer sack edişi vardır?,xquad-tr-56beb4343aeaaa14008c925c,1.0,1.0,136,,561.6772499997751,0.000396228,,9434,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.3090409991273191,0,real,True,test,False
True,Kaynaklarda bu soruyu yanıtlamak için yeterli kanıt yok.,0.0,0.0,A,xquad-tr-2b81f10d1c9b|xquad-tr-32f9b3f9058f|xquad-tr-41d0eeaba356|xquad-tr-ff7d0fa77806|xquad-tr-78d4b5c3b411|xquad-tr-c84dc45a4483|xquad-tr-978df37623b2|xquad-tr-65ec3003bd84|xquad-tr-2e52c5a647dd|xquad-tr-5d57febd31d2|xquad-tr-58f04ac166fc|xquad-tr-301b639f3ac9|xquad-tr-71addbef986e|xquad-tr-e43356118978|xquad-tr-e160a67f6095|xquad-tr-6b70e4d40c90|xquad-tr-076a132122cb|xquad-tr-717a8e567f6e|xquad-tr-3dcc3bbc2c25|xquad-tr-94de63f55db8,0.0,4520,xquad-tr-2b81f10d1c9b|xquad-tr-32f9b3f9058f|xquad-tr-41d0eeaba356|xquad-tr-ff7d0fa77806|xquad-tr-78d4b5c3b411,2158.508582997456,False,,,2158.1995419983286,15,5.259e-05,qwen/qwen3.7-flash,1688,,tr,1.0,1.0,1.0,1.0,5.259e-05,Jared Allen'ın kaç tane kariyer sack edişi vardır?,xquad-tr-56beb4343aeaaa14008c925c,1.0,1.0,136,,0.0,0.0,,,,,,0.3090409991273191,0,real,True,test,False
False,Luke Kuechly 118 top çalma kaydetmiştir [xquad-tr-2b81f10d1c9b].,0.0,0.2857142857142857,A,xquad-tr-2b81f10d1c9b|xquad-tr-9683af0ea7d1|xquad-tr-41d0eeaba356|xquad-tr-00131885f61f|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-02b48bacfd77|xquad-tr-02d7ab96e83c|xquad-tr-032f09b0043b|xquad-tr-0395d7cf3439|xquad-tr-04c15ed36672|xquad-tr-076a132122cb|xquad-tr-07b450b99a51|xquad-tr-0829db2785c8|xquad-tr-09adcd67a6a7|xquad-tr-09da7e8547ec|xquad-tr-0cec58654d5a|xquad-tr-0d54e1458a4d|xquad-tr-0da52699e654|xquad-tr-1005ea8ca58f,1.0,4432,xquad-tr-2b81f10d1c9b|xquad-tr-9683af0ea7d1|xquad-tr-41d0eeaba356|xquad-tr-00131885f61f|xquad-tr-01a436bd8738,949.8568339986377,False,,,949.6010420007224,33,5.574e-05,qwen/qwen3.7-flash,1715,,tr,1.0,1.0,1.0,1.0,5.574e-05,Luke Kuechly kaç tane top çalma kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925d,1.0,1.0,118,,0.0,0.0,,,,,,0.25579199791536666,0,real,True,test,True
False,Luke Kuechly 118 top çalma kaydetmiştir [xquad-tr-2b81f10d1c9b].,0.0,0.2857142857142857,D,xquad-tr-2b81f10d1c9b|xquad-tr-9683af0ea7d1|xquad-tr-41d0eeaba356|xquad-tr-00131885f61f|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-02b48bacfd77|xquad-tr-02d7ab96e83c|xquad-tr-032f09b0043b|xquad-tr-0395d7cf3439|xquad-tr-04c15ed36672|xquad-tr-076a132122cb|xquad-tr-07b450b99a51|xquad-tr-0829db2785c8|xquad-tr-09adcd67a6a7|xquad-tr-09da7e8547ec|xquad-tr-0cec58654d5a|xquad-tr-0d54e1458a4d|xquad-tr-0da52699e654|xquad-tr-1005ea8ca58f,1.0,3821,xquad-tr-2b81f10d1c9b|xquad-tr-032f09b0043b|xquad-tr-076a132122cb|xquad-tr-07b450b99a51|xquad-tr-0829db2785c8,1483.117208994372,False,,,995.229999996809,33,4.497e-05,qwen/qwen3.7-flash,1356,,tr,1.0,1.0,1.0,1.0,0.000406758,Luke Kuechly kaç tane top çalma kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925d,1.0,1.0,118,,487.6314169996476,0.000361788,,8614,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.25579199791536666,0,real,True,test,True
False,"Josh Norman, sezon boyunca bir kapalı köşe içinde gelişerek dört top kapma geliştirmiştir [xquad-tr-2b81f10d1c9b].",0.0,0.14285714285714288,D,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-2096d87118ed|xquad-tr-41d0eeaba356|xquad-tr-b0a07a94d027|xquad-tr-85c908dac685|xquad-tr-4a2711d06cb1|xquad-tr-ba97240ac13e|xquad-tr-340f1c764a20|xquad-tr-00131885f61f|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-02b48bacfd77|xquad-tr-02d7ab96e83c|xquad-tr-032f09b0043b|xquad-tr-0395d7cf3439|xquad-tr-04c15ed36672|xquad-tr-076a132122cb|xquad-tr-07b450b99a51|xquad-tr-0829db2785c8,1.0,6000,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-340f1c764a20|xquad-tr-07b450b99a51|xquad-tr-02d7ab96e83c,1632.621499004017,False,,,1090.1765410017106,39,6.51e-05,qwen/qwen3.7-flash,2001,,tr,1.0,1.0,1.0,1.0,0.000445536,Josh Norman kaç tane top çalmıştır?,xquad-tr-56beb4343aeaaa14008c925e,1.0,1.0,dört,,542.2332500020275,0.000380436,,9058,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.2117080002790317,0,real,True,test,True
False,"Josh Norman, 88 top çalma sayısıyla öne çıkmıştır [xquad-tr-2b81f10d1c9b]. Ayrıca sezon boyunca iki kale çizgisini geçişten dönen dört top kapma geliştirmiştir [xquad-tr-2b81f10d1c9b].",0.0,0.09523809523809523,A,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-2096d87118ed|xquad-tr-41d0eeaba356|xquad-tr-b0a07a94d027|xquad-tr-85c908dac685|xquad-tr-4a2711d06cb1|xquad-tr-ba97240ac13e|xquad-tr-340f1c764a20|xquad-tr-00131885f61f|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-02b48bacfd77|xquad-tr-02d7ab96e83c|xquad-tr-032f09b0043b|xquad-tr-0395d7cf3439|xquad-tr-04c15ed36672|xquad-tr-076a132122cb|xquad-tr-07b450b99a51|xquad-tr-0829db2785c8,1.0,4541,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-2096d87118ed|xquad-tr-41d0eeaba356|xquad-tr-b0a07a94d027,1574.05508300144,False,,,1573.843375001161,73,5.77e-05,qwen/qwen3.7-flash,1607,,tr,1.0,1.0,1.0,1.0,5.77e-05,Josh Norman kaç tane top çalmıştır?,xquad-tr-56beb4343aeaaa14008c925e,1.0,1.0,dört,,0.0,0.0,,,,,,0.2117080002790317,0,real,True,test,True
True,Kaynaklarda bu soruyu yanıtlamak için yeterli kanıt yok.,0.0,0.0,A,xquad-tr-2b81f10d1c9b|xquad-tr-c2d7b0c4ce20|xquad-tr-138af7162b1d|xquad-tr-9683af0ea7d1|xquad-tr-e43356118978|xquad-tr-193e3666bbf5|xquad-tr-0cec58654d5a|xquad-tr-391129eff6d9|xquad-tr-640a0af166e5|xquad-tr-65f29f3619dd|xquad-tr-c84dc45a4483|xquad-tr-0829db2785c8|xquad-tr-94de63f55db8|xquad-tr-660ba94e4a8b|xquad-tr-ffe52435c3c7|xquad-tr-cf9d3c41c0ee|xquad-tr-3235577fd416|xquad-tr-3257da1da5c9|xquad-tr-b2be6da0eb69|xquad-tr-6fea66e18af0,0.0,3721,xquad-tr-2b81f10d1c9b|xquad-tr-c2d7b0c4ce20|xquad-tr-138af7162b1d|xquad-tr-9683af0ea7d1|xquad-tr-e43356118978,678.0008339992492,False,,,677.6657089976652,15,1.104e-05,qwen/qwen3.7-flash,1327,,tr,1.0,1.0,1.0,1.0,1.104e-05,Bu sezon takımdaki en fazla sack etmeyi kim kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925f,1.0,1.0,Kawann Short,,0.0,0.0,,,,,,0.33512500158394687,0,real,True,test,False
True,Kaynaklarda bu soruyu yanıtlamak için yeterli kanıt yok.,0.0,0.0,D,xquad-tr-2b81f10d1c9b|xquad-tr-c2d7b0c4ce20|xquad-tr-138af7162b1d|xquad-tr-9683af0ea7d1|xquad-tr-e43356118978|xquad-tr-193e3666bbf5|xquad-tr-0cec58654d5a|xquad-tr-391129eff6d9|xquad-tr-640a0af166e5|xquad-tr-65f29f3619dd|xquad-tr-c84dc45a4483|xquad-tr-0829db2785c8|xquad-tr-94de63f55db8|xquad-tr-660ba94e4a8b|xquad-tr-ffe52435c3c7|xquad-tr-cf9d3c41c0ee|xquad-tr-3235577fd416|xquad-tr-3257da1da5c9|xquad-tr-b2be6da0eb69|xquad-tr-6fea66e18af0,0.0,3683,xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-660ba94e4a8b|xquad-tr-391129eff6d9|xquad-tr-640a0af166e5,1515.284373999748,False,,,864.0755829983391,15,4.128e-05,qwen/qwen3.7-flash,1311,,tr,1.0,1.0,1.0,1.0,0.00042058199999999997,Bu sezon takımdaki en fazla sack etmeyi kim kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925f,1.0,1.0,Kawann Short,,650.8736659998249,0.000379302,,9031,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.33512500158394687,0,real,True,test,False
